datacenter_id;datacenter_name;datacenter_storage_energy;storage_id;system;storage_capacity;capacity_used;active_duration;idle_intervals;total_energy_active;total_energy_idle;average_rotation_latency;average_seek_Time;max_internal_data_transfer_rate;idle_power;active_power;files;
3;datacenter;75010.80926411285;1;storage;900000.0;20992.0;106.07844686325052;1.000013659472681:;615.254991806853;3.000040978418043;0.003;0.004;198.0;3.0;5.8;55596,3072,15.520749003096359:1-269738,1024,5.174602419380227:140976,3072,15.522365042062027:2-1002263,1024,5.1793216218824325:304814,3584,18.105300167528473:146150,2560,12.944428481738047:3-32082,512,2.5936182895612587:303821,3584,18.108550228053772:2-32082,2560,12.936364657206108:;
3;datacenter;75010.80926411285;2;storage;900000.0;24064.0;121.60501265295854;1.0000000435601588:;705.3090733871594;3.000000130680476;0.003;0.004;198.0;3.0;5.8;304608,3584,18.103752520403432:361644,3072,15.519035189276451:304364,3584,18.1111057463868:3-753921,3072,15.523115012832054:55890,3072,15.52256270612855:725323,512,2.5932296491209064:303574,3584,18.107267335988507:5-973347,3072,15.526874082984172:1-287047,512,2.5934671762129167:;
3;datacenter;75010.80926411285;3;storage;900000.0;27136.0;152.628101997968;1.000000126982307:;885.2429915882144;3.0000003809469207;0.003;0.004;198.0;3.0;5.8;305050,3584,18.10795200666362:303723,3584,18.107729566387277:2-878231,1024,5.182737041777884:1-817791,3072,15.517670233789595:817773,3072,15.521476596223064:304077,3584,18.113676555539993:304420,3584,18.10553851869932:55896,3072,15.515853431514946:6-31682,2560,12.943806824319404:;
3;datacenter;75010.80926411285;4;storage;900000.0;21504.0;108.66995854545578;1.0000002596075253:;630.2857595636435;3.0000007788225758;0.003;0.004;198.0;3.0;5.8;29-240840,3072,15.522980568943678:1-270738,1024,5.177463167178:18085,512,2.5979215818142944:1-55866,3072,15.519663205043065:303849,3584,18.10425929104471:1-206094,3072,15.527665005129588:304960,3584,18.107044556533268:1-258923,512,2.593470132470094:34-240840,3072,15.528958021756647:;
3;datacenter;75010.80926411285;5;storage;900000.0;17920.0;106.09275679653472;1.0000005200268733:;615.3379894199014;3.0000015600806202;0.003;0.004;198.0;3.0;5.8;289404,512,2.5953087119314207:4-760114,512,2.592584763050448:1-206106,3072,15.521089470304831:19-240840,3072,15.528324850017718:55638,3072,15.515898999455127:211167,3072,15.518060297839748:3-146350,512,2.597059647349869:1-428733,512,2.589306651493826:303658,3584,18.109748858371464:;
3;datacenter;75010.80926411285;6;storage;900000.0;35328.0;178.49162801131277;1.000000769082787:;1035.2514424656138;3.0000023072483613;0.003;0.004;198.0;3.0;5.8;1-55698,3072,15.523851845998562:303814,3584,18.11082434510212:62942,11776,59.48020297935593:289698,512,2.6012328256204955:304676,3584,18.106983380777557:304918,3584,18.10819005112163:1-591411,3072,15.52326029941496:973353,3072,15.517568777103904:1-55836,3072,15.524243906607431:;
3;datacenter;75010.80926411285;7;storage;900000.0;26112.0;131.94860869221856;1.0000010395900472:;765.3019304148676;3.0000031187701417;0.003;0.004;198.0;3.0;5.8;1-55788,3072,15.521412617233525:24-240840,3072,15.515805812819579:2-753921,3072,15.525832834108538:304296,3584,18.105484579378114:304163,3584,18.10199415639291:1-572526,2560,12.945299826282618:753921,3072,15.517439899431215:7-428733,512,2.5933620864355444:304378,3584,18.10159436887726:;
3;datacenter;75010.80926411285;8;storage;900000.0;36352.0;183.66402544919347;1.0000011658244732:;1065.2513476053223;3.0000034974734193;0.003;0.004;198.0;3.0;5.8;303758,3584,18.105801179225388:62872,9216,46.54886383644453:367002,9216,46.55993229957689:140964,3072,15.523404863517836:1-55830,3072,15.518655095222027:1002249,1024,5.174874786033074:1-55620,3072,15.521699660448057:269748,1024,5.179627056457308:6-973347,3072,15.521923399963635:;
3;datacenter;75010.80926411285;9;storage;900000.0;22528.0;126.78046059268489;1.0000012112504157:;735.3266714375724;3.0000036337512475;0.003;0.004;198.0;3.0;5.8;59497,2560,12.930056647471464:1-269732,1024,5.181968832505037:8-240840,3072,15.52059806081298:304673,1536,7.766943231206486:108629,4096,20.693612526830027:304855,3584,18.110488751224572:55746,3072,15.528548319583543:206094,3072,15.522262663885032:5-760114,512,2.5923040169814526:;
3;datacenter;75010.80926411285;10;storage;900000.0;25600.0;160.38638256291483;1.0000012790789963:;930.241018864906;3.0000038372369886;0.003;0.004;198.0;3.0;5.8;304361,1536,7.760970703907646:206082,3072,15.524095871203498:55884,3072,15.522611106107519:1-55734,3072,15.520073224982466:304240,3584,18.113435849956158:55860,3072,15.524167680192772:304745,3584,18.10912817149842:1-1002253,1024,5.174479887855606:304904,3584,18.103786776942787:;
3;datacenter;75010.80926411285;11;storage;900000.0;15360.0;80.23871629429301;1.0000013319452423:;465.38455450689935;3.000003995835727;0.003;0.004;198.0;3.0;5.8;206106,3072,15.530520384403182:304649,3584,18.1039151698151:304008,1536,7.76714667481306:7-146150,512,2.5911132635442726:149731,512,2.6005298500457767:303828,3584,18.110317593676623:1002247,1024,5.176100140146653:1-146150,512,2.59192498865606:205496,1024,5.1781929221769225:;
3;datacenter;75010.80926411285;12;storage;900000.0;26112.0;137.1333464261508;1.0000015973699672:;795.3734092716746;3.000004792109902;0.003;0.004;198.0;3.0;5.8;269744,1024,5.180895573982509:62901,3072,15.523936928687634:878237,1024,5.176957283195995:304212,3584,18.104620620374195:1-1002255,1024,5.17380836342884:7004,2048,10.353917645684684:7000,2048,10.349365226825295:62912,9216,46.55540091851161:1-55860,3072,15.520942812148263:;
